customer_id,customer_name,snapshot_date,age,tenure_months,customer_segment,income_regularity,customer_yearly_value,loyalty,products_count,has_credit_card,has_loan,days_since_last_transaction,balance_change_30d,transaction_change_30d,card_spend_change_30d,app_login_change_30d,salary_missing_days,external_transfer_change_30d,upi_share_of_spend,fd_maturing_in_30d,products_dropped_90d,complaints_30d,unresolved_complaints,failed_transactions_30d,avg_resolution_time_hrs,emi_bounce_30d,complaint_text,branch_code,card_colour,churn_flag,churn_probability,risk_score,churn_prediction,risk_level,top_risk_factors
C10000,Aryan Maharaj,2026-06-01,32,6,business,irregular,63556.817,-0.0347,2,0,1,13,23.9436,5.7551,24.5369,-17.0619,,-1.4304,0.2669,0,0,0,0,1,0.0,0,,BR-106,blue,0,2.39,7.18,No,Low,"[{""factor"": ""tenure_months"", ""value"": 6}, {""factor"": ""branch_code"", ""value"": ""BR-106""}, {""factor"": ""days_since_last_transaction"", ""value"": 13}, {""factor"": ""card_colour"", ""value"": ""blue""}, {""factor"": ""upi_share_of_spend"", ""value"": 0.2669}]"
C10001,Udant Dewan,2026-06-01,44,143,business,irregular,25276.9051,-1.0984,3,1,1,0,-12.1954,10.0601,-6.3322,2.7499,,0.5232,0.6212,0,0,1,0,1,6.1273,0,Contactless payment is not enabled on my card. Please activate it.,BR-115,blue,0,1.96,5.87,No,Low,"[{""factor"": ""card_colour"", ""value"": ""blue""}, {""factor"": ""income_regularity"", ""value"": ""irregular""}, {""factor"": ""external_transfer_change_30d"", ""value"": 0.5232}, {""factor"": ""has_credit_card"", ""value"": 1}]"
C10002,Gagan Sami,2026-03-01,30,50,vendor,irregular,10600.888,-0.9401,1,0,0,11,-34.6686,-37.282,-37.4112,-54.2328,,45.6658,0.6568,1,0,6,5,10,118.1382,0,Cash trapped in the machine shutter. Guard said complain to bank.,BR-133,blue,1,95.65,98.37,Yes,High,"[{""factor"": ""avg_resolution_time_hrs"", ""value"": 118.1382}, {""factor"": ""failed_transactions_30d"", ""value"": 10}, {""factor"": ""fd_maturing_in_30d"", ""value"": 1}, {""factor"": ""balance_change_30d"", ""value"": -34.6686}, {""factor"": ""card_spend_change_30d"", ""value"": -37.4112}]"
C10003,Ayushman Chander,2026-02-01,25,39,salary,regular,82454.0432,0.8239,2,0,1,9,-3.2693,-20.1397,-27.851,-6.6912,2.0,-3.9446,0.3626,0,0,1,0,0,51.3418,0,"Kindly reconsider my rate, another bank is offering 2 percent lower.",BR-137,silver,1,7.29,21.86,No,Low,"[{""factor"": ""card_spend_change_30d"", ""value"": -27.851}, {""factor"": ""tenure_months"", ""value"": 39}, {""factor"": ""salary_missing_days"", ""value"": 2.0}, {""factor"": ""avg_resolution_time_hrs"", ""value"": 51.3418}, {""factor"": ""age"", ""value"": 25}]"
C10004,Viraj Tiwari,2026-06-01,50,102,business,irregular,91392.6264,-0.048,3,0,0,27,-62.6057,-50.0564,-50.7441,-38.3363,,42.8021,0.9319,0,0,1,0,2,38.3151,0,"Customer asked for RM contact number, says he could never reach anyone.",BR-107,silver,0,70.37,88.89,Yes,High,"[{""factor"": ""balance_change_30d"", ""value"": -62.6057}, {""factor"": ""days_since_last_transaction"", ""value"": 27}, {""factor"": ""card_spend_change_30d"", ""value"": -50.7441}, {""factor"": ""failed_transactions_30d"", ""value"": 2}, {""factor"": ""tenure_months"", ""value"": 102}]"
C10005,Rushil Saini,2026-06-01,43,24,salary,regular,20805.0767,-1.12,1,0,0,1,4.1843,11.0428,15.4921,2.3044,0.0,8.1874,0.5657,1,0,6,5,5,120.1617,0,Two hundred rupees deducted as ATM decline charge. This is unfair.,BR-118,blue,0,41.38,78.02,Yes,High,"[{""factor"": ""avg_resolution_time_hrs"", ""value"": 120.1617}, {""factor"": ""fd_maturing_in_30d"", ""value"": 1}, {""factor"": ""tenure_months"", ""value"": 24}, {""factor"": ""failed_transactions_30d"", ""value"": 5}, {""factor"": ""complaints_30d"", ""value"": 6}]"
C10006,Saumya Mall,2026-03-01,42,67,business,irregular,64545.2327,1.3655,1,0,0,6,-9.885,4.4711,-19.438,-17.2586,,6.8959,0.7627,0,1,6,6,10,129.1486,0,Card transaction alert SMS stopped coming. How do I track spending?,BR-113,silver,1,45.95,79.73,Yes,High,"[{""factor"": ""avg_resolution_time_hrs"", ""value"": 129.1486}, {""factor"": ""failed_transactions_30d"", ""value"": 10}, {""factor"": ""complaints_30d"", ""value"": 6}, {""factor"": ""unresolved_complaints"", ""value"": 6}, {""factor"": ""card_spend_change_30d"", ""value"": -19.438}]"
C10007,Nathaniel Sami,2026-01-01,28,16,vendor,irregular,28492.4479,0.0811,1,0,0,10,-5.6375,4.6919,-0.8057,-13.9719,,-16.5971,0.0,1,0,1,1,3,37.9008,0,"Cash withdrawal failed twice, amount debited, receipt not printed.",BR-125,blue,1,7.29,21.86,No,Low,"[{""factor"": ""fd_maturing_in_30d"", ""value"": 1}, {""factor"": ""tenure_months"", ""value"": 16}, {""factor"": ""failed_transactions_30d"", ""value"": 3}, {""factor"": ""unresolved_complaints"", ""value"": 1}, {""factor"": ""branch_code"", ""value"": ""BR-125""}]"
C10008,Arunima Dugal,2026-06-01,46,59,salary,regular,20241.8429,-1.3317,2,1,0,2,24.4556,22.1491,17.5339,-7.7451,1.0,11.1066,0.5888,0,0,0,0,1,0.0,0,,BR-126,silver,0,1.65,4.96,No,Low,"[{""factor"": ""tenure_months"", ""value"": 59}, {""factor"": ""external_transfer_change_30d"", ""value"": 11.1066}, {""factor"": ""customer_segment"", ""value"": ""salary""}, {""factor"": ""income_regularity"", ""value"": ""regular""}, {""factor"": ""has_loan"", ""value"": 0}]"
C10009,Gayathri Chaudry,2026-06-01,80,161,pension,regular,20950.916,0.5335,4,0,0,17,-7.4855,-3.6596,-9.005,-23.3651,0.0,35.9175,1.0,0,0,2,0,1,24.7349,0,Sunday ko ATM kaam nahi karta aapka. Emergency me kya karein?,BR-115,green,0,3.74,11.21,No,Low,"[{""factor"": ""days_since_last_transaction"", ""value"": 17}, {""factor"": ""complaints_30d"", ""value"": 2}, {""factor"": ""age"", ""value"": 80}, {""factor"": ""customer_segment"", ""value"": ""pension""}, {""factor"": ""external_transfer_change_30d"", ""value"": 35.9175}]"
