customer_id,customer_name,snapshot_date,age,tenure_months,customer_segment,income_regularity,customer_yearly_value,loyalty,products_count,has_credit_card,has_loan,days_since_last_transaction,balance_change_30d,transaction_change_30d,card_spend_change_30d,app_login_change_30d,salary_missing_days,external_transfer_change_30d,upi_share_of_spend,fd_maturing_in_30d,products_dropped_90d,complaints_30d,unresolved_complaints,failed_transactions_30d,avg_resolution_time_hrs,emi_bounce_30d,complaint_text,branch_code,card_colour,churn_flag
C10000,Aryan Maharaj,2026-01-01,32,6,business,irregular,63556.817,-0.0347,2,0,1,12,14.3603,12.3591,29.2178,-17.2005,,-5.5963,0.2942,0,1,0,0,0,0.0,0,,BR-106,blue,0
C10000,Aryan Maharaj,2026-02-01,32,6,business,irregular,63556.817,-0.0347,2,0,1,14,-22.8932,19.0249,-1.2805,-22.3874,,16.7465,0.3606,0,0,0,0,0,0.0,0,,BR-106,blue,0
C10000,Aryan Maharaj,2026-03-01,32,6,business,irregular,63556.817,-0.0347,2,0,1,13,23.7714,4.7901,19.4207,10.2781,,-15.1192,0.2829,0,0,0,0,0,0.0,0,,BR-106,blue,0
C10000,Aryan Maharaj,2026-04-01,32,6,business,irregular,63556.817,-0.0347,2,0,1,12,0.8419,-5.8999,-27.2812,-0.8771,,8.8611,0.3602,0,0,0,0,3,0.0,0,,BR-106,blue,0
C10000,Aryan Maharaj,2026-05-01,32,6,business,irregular,63556.817,-0.0347,2,0,1,6,-5.8515,18.0213,-10.5097,-14.0451,,-3.5888,0.446,0,0,0,0,0,0.0,0,,BR-106,blue,0
C10000,Aryan Maharaj,2026-06-01,32,6,business,irregular,63556.817,-0.0347,2,0,1,13,23.9436,5.7551,24.5369,-17.0619,,-1.4304,0.2669,0,0,0,0,1,0.0,0,,BR-106,blue,0
C10001,Udant Dewan,2026-01-01,44,143,business,irregular,25276.9051,-1.0984,3,1,1,2,-1.1589,8.8528,30.6481,-8.1573,,-31.2027,0.4063,0,0,0,0,1,0.0,0,,BR-115,blue,0
C10001,Udant Dewan,2026-02-01,44,143,business,irregular,25276.9051,-1.0984,3,1,1,0,9.71,23.4528,21.3566,16.9063,,-16.2817,0.4389,1,0,0,0,1,0.0,0,,BR-115,blue,0
C10001,Udant Dewan,2026-03-01,44,143,business,irregular,25276.9051,-1.0984,3,1,1,0,29.9155,9.3509,21.2188,23.2206,,-40.5363,0.4735,0,0,0,0,2,0.0,0,,BR-115,blue,0
C10001,Udant Dewan,2026-04-01,44,143,business,irregular,25276.9051,-1.0984,3,1,1,0,16.9903,4.1758,-3.5877,2.5944,,7.9334,0.4905,0,0,1,1,0,46.157,0,Discussed digital banking. Customer already using competitor app daily.,BR-115,blue,0
C10001,Udant Dewan,2026-05-01,44,143,business,irregular,25276.9051,-1.0984,3,1,1,0,-0.5344,0.0349,30.9511,5.7884,,-17.2934,0.4341,0,0,1,1,1,32.2774,1,Customer appreciated loan support but wants faster digital services.,BR-115,blue,0
C10001,Udant Dewan,2026-06-01,44,143,business,irregular,25276.9051,-1.0984,3,1,1,0,-12.1954,10.0601,-6.3322,2.7499,,0.5232,0.6212,0,0,1,0,1,6.1273,0,Contactless payment is not enabled on my card. Please activate it.,BR-115,blue,0
C10002,Gagan Sami,2026-01-01,30,50,vendor,irregular,10600.888,-0.9401,1,0,0,9,-8.3667,8.7678,31.7883,0.3828,,-3.8601,0.5475,0,0,0,0,2,0.0,0,,BR-133,blue,0
C10002,Gagan Sami,2026-02-01,30,50,vendor,irregular,10600.888,-0.9401,1,0,0,8,-2.633,-15.245,-7.1458,-1.4662,,66.3318,0.5387,1,0,2,2,4,60.7316,0,Discussed retention offer. Customer said he will think about it.,BR-133,blue,0
C10002,Gagan Sami,2026-03-01,30,50,vendor,irregular,10600.888,-0.9401,1,0,0,11,-34.6686,-37.282,-37.4112,-54.2328,,45.6658,0.6568,1,0,6,5,10,118.1382,0,Cash trapped in the machine shutter. Guard said complain to bank.,BR-133,blue,1
C10003,Ayushman Chander,2026-01-01,25,39,salary,regular,82454.0432,0.8239,2,0,1,11,15.2295,7.6981,-24.0555,3.9996,1.0,57.912,0.3191,0,0,0,0,0,0.0,0,,BR-137,silver,0
C10003,Ayushman Chander,2026-02-01,25,39,salary,regular,82454.0432,0.8239,2,0,1,9,-3.2693,-20.1397,-27.851,-6.6912,2.0,-3.9446,0.3626,0,0,1,0,0,51.3418,0,"Kindly reconsider my rate, another bank is offering 2 percent lower.",BR-137,silver,1
C10004,Viraj Tiwari,2026-01-01,50,102,business,irregular,91392.6264,-0.048,3,0,0,8,15.1235,-3.1502,-4.8442,8.3071,,29.7076,0.6523,0,0,0,0,2,0.0,0,,BR-107,silver,0
C10004,Viraj Tiwari,2026-02-01,50,102,business,irregular,91392.6264,-0.048,3,0,0,19,-22.9377,-29.4271,-24.9896,-18.7711,,54.1594,0.8576,0,0,1,1,1,25.8389,0,Foreclosure charge plus documentation charge plus GST. Too many layers.,BR-107,silver,0
C10004,Viraj Tiwari,2026-03-01,50,102,business,irregular,91392.6264,-0.048,3,0,0,11,-41.1964,-46.3493,-61.3809,-53.2094,,39.9518,0.7732,0,1,1,0,1,30.1701,0,Staff keeps promoting insurance instead of solving my actual problem.,BR-107,silver,0
C10004,Viraj Tiwari,2026-04-01,50,102,business,irregular,91392.6264,-0.048,3,0,0,20,-44.9432,-55.4485,-50.3711,-53.7025,,96.0239,0.7873,0,0,0,0,1,0.0,0,,BR-107,silver,0
C10004,Viraj Tiwari,2026-05-01,50,102,business,irregular,91392.6264,-0.048,3,0,0,15,-55.8516,-41.1083,-42.9507,-38.2978,,45.1125,0.8483,0,0,0,0,2,0.0,0,,BR-107,silver,0
C10004,Viraj Tiwari,2026-06-01,50,102,business,irregular,91392.6264,-0.048,3,0,0,27,-62.6057,-50.0564,-50.7441,-38.3363,,42.8021,0.9319,0,0,1,0,2,38.3151,0,"Customer asked for RM contact number, says he could never reach anyone.",BR-107,silver,0
C10005,Rushil Saini,2026-01-01,43,24,salary,regular,20805.0767,-1.12,1,0,0,3,27.293,8.7169,33.4948,12.4956,0.0,-31.8451,0.4765,1,0,0,0,1,0.0,0,,BR-118,blue,0
C10005,Rushil Saini,2026-02-01,43,24,salary,regular,20805.0767,-1.12,1,0,0,4,-7.7513,2.7355,11.7699,23.7274,0.0,25.4536,0.5702,0,0,4,3,4,74.0295,0,Customer very upset about charges. Threatened to close account today.,BR-118,blue,0
C10005,Rushil Saini,2026-03-01,43,24,salary,regular,20805.0767,-1.12,1,0,0,8,5.1665,-6.6871,-8.277,0.3199,0.0,2.0787,0.5799,1,0,2,1,6,50.6505,0,ATM receipt shows balance different from passbook. Please clarify.,BR-118,blue,0
C10005,Rushil Saini,2026-04-01,43,24,salary,regular,20805.0767,-1.12,1,0,0,8,11.9104,-24.2855,2.4585,5.5161,2.0,-21.7191,0.5949,0,0,1,1,7,59.1379,0,Your UPI is down more than it is up. I am moving to another app.,BR-118,blue,0
C10005,Rushil Saini,2026-05-01,43,24,salary,regular,20805.0767,-1.12,1,0,0,11,-16.2619,-1.4124,-12.4874,-18.9759,0.0,25.6073,0.5574,0,0,6,4,7,86.3174,0,"Rent payment failed on due date, landlord charged me late fee.",BR-118,blue,0
C10005,Rushil Saini,2026-06-01,43,24,salary,regular,20805.0767,-1.12,1,0,0,1,4.1843,11.0428,15.4921,2.3044,0.0,8.1874,0.5657,1,0,6,5,5,120.1617,0,Two hundred rupees deducted as ATM decline charge. This is unfair.,BR-118,blue,0
C10006,Saumya Mall,2026-01-01,42,67,business,irregular,64545.2327,1.3655,1,0,0,0,4.9423,1.1262,-7.4351,-9.9882,,42.8048,0.7198,0,0,3,0,1,59.1224,0,Dispute closed as resolved but I never received the reversal amount.,BR-113,silver,0
C10006,Saumya Mall,2026-02-01,42,67,business,irregular,64545.2327,1.3655,1,0,0,8,-7.9355,11.7872,-7.817,-20.9169,,4.4415,0.7517,0,0,1,1,0,52.0614,0,"Kindly reissue my card, the chip has stopped reading at merchants.",BR-113,silver,0
C10006,Saumya Mall,2026-03-01,42,67,business,irregular,64545.2327,1.3655,1,0,0,6,-9.885,4.4711,-19.438,-17.2586,,6.8959,0.7627,0,1,6,6,10,129.1486,0,Card transaction alert SMS stopped coming. How do I track spending?,BR-113,silver,1
C10007,Nathaniel Sami,2026-01-01,28,16,vendor,irregular,28492.4479,0.0811,1,0,0,10,-5.6375,4.6919,-0.8057,-13.9719,,-16.5971,0.0,1,0,1,1,3,37.9008,0,"Cash withdrawal failed twice, amount debited, receipt not printed.",BR-125,blue,1
C10008,Arunima Dugal,2026-01-01,46,59,salary,regular,20241.8429,-1.3317,2,1,0,5,-12.0585,-28.4985,-8.9877,-9.6893,3.0,42.8381,0.5752,0,1,0,0,0,0.0,0,,BR-126,silver,0
C10008,Arunima Dugal,2026-02-01,46,59,salary,regular,20241.8429,-1.3317,2,1,0,0,9.9426,32.4018,38.4976,9.916,0.0,0.8621,0.6539,0,0,0,0,0,0.0,0,,BR-126,silver,0
C10008,Arunima Dugal,2026-03-01,46,59,salary,regular,20241.8429,-1.3317,2,1,0,0,41.3783,25.1604,22.0147,41.0782,0.0,-17.8092,0.5622,0,0,0,0,2,0.0,0,,BR-126,silver,0
C10008,Arunima Dugal,2026-04-01,46,59,salary,regular,20241.8429,-1.3317,2,1,0,0,30.8958,33.1965,10.4142,21.3788,0.0,-32.7469,0.5711,0,0,0,0,0,0.0,0,,BR-126,silver,0
C10008,Arunima Dugal,2026-05-01,46,59,salary,regular,20241.8429,-1.3317,2,1,0,1,8.4664,-2.9174,4.562,-7.6451,2.0,-0.2658,0.5687,0,0,0,0,2,0.0,0,,BR-126,silver,0
C10008,Arunima Dugal,2026-06-01,46,59,salary,regular,20241.8429,-1.3317,2,1,0,2,24.4556,22.1491,17.5339,-7.7451,1.0,11.1066,0.5888,0,0,0,0,1,0.0,0,,BR-126,silver,0
C10009,Gayathri Chaudry,2026-01-01,80,161,pension,regular,20950.916,0.5335,4,0,0,11,-17.5211,-4.0228,22.2757,-15.9824,0.0,18.3348,0.9703,0,0,0,0,1,0.0,0,,BR-115,green,0
C10009,Gayathri Chaudry,2026-02-01,80,161,pension,regular,20950.916,0.5335,4,0,0,6,8.9345,37.7718,2.7932,-2.9089,0.0,-37.8172,0.9193,0,0,1,0,2,14.0205,0,Charges statement me alag alag naam se aate hain. Samajh nahi aata.,BR-115,green,0
C10009,Gayathri Chaudry,2026-03-01,80,161,pension,regular,20950.916,0.5335,4,0,0,5,25.9517,31.3517,15.1539,59.7163,0.0,-15.4679,0.8609,0,0,0,0,0,0.0,0,,BR-115,green,0
C10009,Gayathri Chaudry,2026-04-01,80,161,pension,regular,20950.916,0.5335,4,0,0,0,16.4582,-11.3953,51.0746,6.6002,0.0,-2.0117,0.8604,0,0,0,0,0,0.0,0,,BR-115,green,0
C10009,Gayathri Chaudry,2026-05-01,80,161,pension,regular,20950.916,0.5335,4,0,0,14,18.1092,-17.1675,-8.4666,-16.5552,0.0,-18.5048,1.0,0,0,2,0,1,38.5472,0,Pension aane ke baad bhi UPI se paisa nahi bhej pa raha hoon.,BR-115,green,0
C10009,Gayathri Chaudry,2026-06-01,80,161,pension,regular,20950.916,0.5335,4,0,0,17,-7.4855,-3.6596,-9.005,-23.3651,0.0,35.9175,1.0,0,0,2,0,1,24.7349,0,Sunday ko ATM kaam nahi karta aapka. Emergency me kya karein?,BR-115,green,0
C10010,Lajita Chatterjee,2026-01-01,30,144,farmer,seasonal,51809.3305,0.8462,2,0,1,9,-22.8708,-18.5764,-3.5374,-6.5998,,39.3377,0.3844,0,0,5,2,4,37.9615,1,"Sir kripya card block kariye, mera wallet chori ho gaya hai.",BR-111,green,0
C10010,Lajita Chatterjee,2026-02-01,30,144,farmer,seasonal,51809.3305,0.8462,2,0,1,12,-25.3014,-19.806,-41.201,-12.3979,,10.8412,0.3235,0,0,6,5,2,143.1898,0,KYC update took four visits. Every time a new document was demanded.,BR-111,green,1
C10011,Hemangini Lalla,2026-01-01,38,3,salary,regular,20824.1445,-0.1406,3,0,0,2,-2.1871,9.5414,-3.0858,38.4093,0.0,-8.1629,0.6014,0,0,0,0,0,0.0,0,,BR-121,black,0
C10011,Hemangini Lalla,2026-02-01,38,3,salary,regular,20824.1445,-0.1406,3,0,0,0,9.3905,-0.03,-3.2716,4.1618,0.0,25.6609,0.515,0,0,0,0,2,0.0,0,,BR-121,black,0
C10011,Hemangini Lalla,2026-03-01,38,3,salary,regular,20824.1445,-0.1406,3,0,0,0,18.5568,15.429,52.6612,20.8245,0.0,5.5871,0.4778,0,0,0,0,0,0.0,0,,BR-121,black,0
C10011,Hemangini Lalla,2026-04-01,38,3,salary,regular,20824.1445,-0.1406,3,0,0,0,21.0941,22.6383,21.2805,-3.3361,0.0,21.6626,0.5311,1,0,0,0,1,0.0,0,,BR-121,black,0
C10011,Hemangini Lalla,2026-05-01,38,3,salary,regular,20824.1445,-0.1406,3,0,0,5,-18.5157,-16.9798,17.0376,-29.4072,1.0,21.5638,0.4784,0,0,3,1,0,33.533,0,Cheque return charge levied though the cheque was returned by their side.,BR-121,black,1
C10012,Tripti Yadav,2026-01-01,26,1,salary,regular,68877.9463,0.1151,1,0,0,4,-10.1715,-15.8564,6.3523,-16.4111,1.0,-9.6117,0.2246,0,0,0,0,1,0.0,0,,BR-105,silver,0
C10012,Tripti Yadav,2026-02-01,26,1,salary,regular,68877.9463,0.1151,1,0,0,0,14.3747,17.6923,0.3879,30.2595,1.0,-39.2055,0.346,0,0,0,0,0,0.0,0,,BR-105,silver,0
C10012,Tripti Yadav,2026-03-01,26,1,salary,regular,68877.9463,0.1151,1,0,0,10,11.8302,14.6449,14.5526,2.3796,0.0,28.9486,0.352,1,0,0,0,0,0.0,0,,BR-105,silver,0
C10012,Tripti Yadav,2026-04-01,26,1,salary,regular,68877.9463,0.1151,1,0,0,5,10.0412,19.6711,15.6732,-3.172,1.0,5.5288,0.2672,0,0,0,0,0,0.0,0,,BR-105,silver,0
C10012,Tripti Yadav,2026-05-01,26,1,salary,regular,68877.9463,0.1151,1,0,0,0,17.492,-2.429,24.7464,10.1138,0.0,-27.1711,0.2171,0,0,1,0,1,1.0,0,Card declined at petrol pump even though balance was sufficient.,BR-105,silver,0
C10012,Tripti Yadav,2026-06-01,26,1,salary,regular,68877.9463,0.1151,1,0,0,8,-12.8473,16.991,-32.9407,0.7969,0.0,7.0077,0.3411,0,0,0,0,0,0.0,0,,BR-105,silver,0
C10013,Kritika Brar,2026-01-01,55,99,business,irregular,102897.5855,-0.6851,2,0,1,2,4.2072,15.0527,47.6405,25.2868,,37.0044,0.2842,0,1,1,0,0,39.3888,0,This is my fourth complaint about UPI failure. Nothing has improved.,BR-140,black,0
C10013,Kritika Brar,2026-02-01,55,99,business,irregular,102897.5855,-0.6851,2,0,1,1,-7.5342,-2.6213,28.7622,14.602,,-19.5565,0.2176,0,0,1,1,1,46.7699,0,I am losing customers because your UPI QR fails at counter. Fix it.,BR-140,black,0
C10013,Kritika Brar,2026-03-01,55,99,business,irregular,102897.5855,-0.6851,2,0,1,1,15.3218,7.1867,0.7383,12.4011,,12.8151,0.1517,0,0,1,0,0,10.2165,0,"Kindly deliver the card to the branch, courier never finds my shop.",BR-140,black,0
C10013,Kritika Brar,2026-04-01,55,99,business,irregular,102897.5855,-0.6851,2,0,1,0,23.4592,-5.2786,30.5784,17.1097,,-11.8892,0.134,0,0,0,0,0,0.0,0,,BR-140,black,0
C10013,Kritika Brar,2026-05-01,55,99,business,irregular,102897.5855,-0.6851,2,0,1,0,28.1408,13.3714,33.5683,9.8768,,-29.3236,0.1068,0,0,0,0,0,0.0,0,,BR-140,black,0
C10013,Kritika Brar,2026-06-01,55,99,business,irregular,102897.5855,-0.6851,2,0,1,0,15.5568,13.7981,-34.7558,8.5344,,-11.4579,0.2318,0,0,0,0,1,0.0,0,,BR-140,black,0
C10014,Janaki Handa,2026-01-01,68,113,pension,regular,15918.4033,-1.0547,3,1,0,13,-14.6091,-2.0334,-13.1966,-13.5456,1.0,22.5335,0.8026,0,0,0,0,1,0.0,0,,BR-130,black,0
C10014,Janaki Handa,2026-02-01,68,113,pension,regular,15918.4033,-1.0547,3,1,0,10,0.3324,4.9097,12.8267,-29.061,1.0,47.4568,0.83,0,0,2,0,4,14.6507,0,"Kindly enable UPI on my account, it has been disabled without notice.",BR-130,black,0
C10014,Janaki Handa,2026-03-01,68,113,pension,regular,15918.4033,-1.0547,3,1,0,12,-21.9742,-34.8385,5.1811,-2.5431,2.0,22.6242,0.8624,0,0,0,0,1,0.0,0,,BR-130,black,0
C10014,Janaki Handa,2026-04-01,68,113,pension,regular,15918.4033,-1.0547,3,1,0,9,0.7826,-11.0733,20.1195,10.627,0.0,40.6853,0.8255,0,0,0,0,2,0.0,0,,BR-130,black,0
C10014,Janaki Handa,2026-05-01,68,113,pension,regular,15918.4033,-1.0547,3,1,0,16,-21.5373,9.4899,10.479,3.439,3.0,11.2478,0.8646,0,0,1,0,2,29.0654,0,"Unable to pay electricity bill through UPI, connection now disconnected.",BR-130,black,0
C10014,Janaki Handa,2026-06-01,68,113,pension,regular,15918.4033,-1.0547,3,1,0,12,3.8328,2.9175,-6.4618,-2.5269,1.0,-29.1491,0.8088,0,0,0,0,0,0.0,0,,BR-130,black,0
